actual,word,score
sit,wage,0.12485285446537744
sit,rule,0.07196975264892459
sit,keys,0.10528089595806579
sit,end,0.12790633135645568
sit,take,0.30878996237854495
sit,tall,0.25797041638786933
sit,dose,0.2025589207304543
sit,tass,0.2816395595625023
sit,toss,0.2820630760263725
sit,mess,0.18562512131129683
sit,imp,0.3314251578517377
sit,feet,0.46761622400910025
sit,chin,0.41428272118069354
sit,but,0.3122787025095197
sit,live,0.10627655373171886
sit,song,0.33207833392314123
sit,tin,0.40908819270153984
sit,this,0.38374701777503967
sit,miss,0.35652738651370686
sit,its,0.5103064270687506
sit,sat,0.7193908401032665
sit,set,0.7002377614099851
sit,sick,0.6549856669788369
sit,pit,0.6046554435644695
sit,hit,0.5756711453597158
plant,screech,0.1682869238512127
plant,bricks,0.18677091585938727
plant,crowd,0.14954742892363415
plant,waves,0.03399231820803612
plant,harmed,0.10508180548049163
plant,limps,0.1960838202525643
plant,drink,0.1429742924251686
plant,smart,0.2769857771827637
plant,blamed,0.21027064300693407
plant,parks,0.3294461525347662
plant,grams,0.1668766675589741
plant,cramp,0.3160886160628309
plant,flushed,0.25371510986684137
plant,blond,0.25106077432652935
plant,pierced,0.4512979009119787
plant,stand,0.3401938565538876
plant,plots,0.48130430365659277
plant,split,0.47062836356906906
plant,prank,0.4628118092443869
plant,grant,0.5819410389579426
plant,plast,0.7540847656831517
plant,plint,0.7548140352284053
plant,plans,0.6859848958288955
plant,prant,0.8629338869415406
plant,slant,0.7148316730916497
wonder,sickles,0.10671395378091146
wonder,tossing,0.04564643515652103
wonder,locket,0.04100296547914727
wonder,raising,0.07925592575342448
wonder,rapid,0.1807667337315586
wonder,chinning,0.05424625919850588
wonder,bucket,0.09849264713604816
wonder,cradle,0.11468757457778057
wonder,willows,0.22409555095664907
wonder,member,0.2755932121011918
wonder,colors,0.21582461504696482
wonder,handle,0.2387969168932217
wonder,butler,0.3251869385226553
wonder,danger,0.36422623242398544
wonder,widows,0.2660712431388824
wonder,bundle,0.3624470325642528
wonder,tender,0.528433388636028
wonder,windle,0.363652744940951
wonder,welder,0.5729714913739793
wonder,winter,0.493914577663811
wonder,wuzder,0.5796833191081637
wonder,wundle,0.6064412872887612
wonder,wander,0.7173283364171029
wonder,sunder,0.715366493066637
wonder,wunter,0.7854125318360442
relation,get,0.07224696335202224
relation,asthmatic,0.11713178079833002
relation,deters,0.10851466875353626
relation,hesitate,0.18995827513567623
relation,fascinating,0.20934553795545527
relation,sun,0.3324841759194864
relation,effect,0.16648529593667535
relation,become,0.11656308961988167
relation,rich,0.23522457866696514
relation,legislates,0.2266439180697633
relation,mechanic,0.1131878644770391
relation,underwritten,0.3288277550157487
relation,pain,0.2236195912663517
relation,lash,0.13772706221959977
relation,rush,0.29972286513700075
relation,repel,0.2940153052545467
relation,inhibition,0.417661066287533
relation,emotions,0.37878091836611566
relation,resolution,0.504356042251638
relation,laceration,0.5646082048989015
relation,revision,0.7172763012060716
relation,relate,0.4088705073165316
relation,location,0.5957980860946626
relation,ration,0.6044509943327352
relation,belation,0.6727460268402817
